date,timestamp,open,high,low,close,volume
2015-11-22,1448150400000,326.99,327.0,321.0,323.71,3426.17860154
2015-11-23,1448236800000,323.72,326.0,322.0,323.0,4797.36462208
2015-11-24,1448323200000,323.01,323.17,318.0,321.0,5234.70261933
2015-11-25,1448409600000,320.96,330.06,316.26,328.98,7870.71416224
2015-11-26,1448496000000,328.99,368.18,328.98,352.57,14023.74766101
2015-11-27,1448582400000,352.56,364.46,347.96,358.19,7234.83070596
2015-11-28,1448668800000,358.2,359.63,351.09,357.24,5553.33149499
2015-11-29,1448755200000,357.24,373.63,354.26,372.24,5537.92313905
2015-11-30,1448841600000,372.25,382.87,367.5,376.86,11425.77472777
2015-12-01,1448928000000,376.88,378.94,354.6,362.68,9267.09208586
2015-12-02,1449014400000,362.68,363.06,347.55,360.0,8966.98824159
2015-12-03,1449100800000,360.0,369.99,356.52,361.77,7242.50437252
2015-12-04,1449187200000,361.89,364.85,355.43,363.98,5864.70564891
2015-12-05,1449273600000,363.98,390.0,363.97,387.99,8731.85230085
2015-12-06,1449360000000,388.03,401.01,375.22,387.55,9639.70483496
2015-12-07,1449446400000,387.53,397.57,383.0,394.73,7578.14034278
2015-12-08,1449532800000,394.73,418.94,386.69,418.94,8264.82457202
2015-12-09,1449619200000,417.84,425.0,401.0,418.39,13828.50629405
2015-12-10,1449705600000,418.39,419.5,408.0,415.68,7117.83823664
2015-12-11,1449792000000,415.68,453.13,415.67,452.95,13643.56244614
2015-12-12,1449878400000,452.95,469.34,403.0,436.87,29525.37096438
2015-12-13,1449964800000,436.9,443.83,419.42,433.83,6721.48859993
2015-12-14,1450051200000,433.38,450.0,429.12,444.01,165542.81103878
2015-12-15,1450137600000,444.03,464.95,443.76,464.27,11008.16685662
2015-12-16,1450224000000,464.5,464.73,440.0,453.97,35979.12462
2015-12-17,1450310400000,453.96,456.33,446.01,455.5,6291.40394102
2015-12-18,1450396800000,455.5,465.1,453.28,463.17,5045.11002465
2015-12-19,1450483200000,463.14,465.6,451.58,461.29,6991.38436346
2015-12-20,1450569600000,461.29,461.3,430.0,442.22,8376.43335291
2015-12-21,1450656000000,442.36,444.44,424.66,436.81,6845.94120366
2015-12-22,1450742400000,436.85,442.0,432.58,433.92,6659.30196893
2015-12-23,1450828800000,433.94,445.11,428.29,442.43,7571.53072722
2015-12-24,1450915200000,442.43,460.0,442.42,455.74,6860.23753086
2015-12-25,1451001600000,455.74,458.99,450.01,455.84,3482.66051175
2015-12-26,1451088000000,455.82,458.29,410.0,419.41,13505.23264845
2015-12-27,1451174400000,419.41,429.85,410.02,424.72,5568.9768396
2015-12-28,1451260800000,424.73,429.9,418.0,421.94,6929.61799486
2015-12-29,1451347200000,421.94,433.9,419.31,433.89,6387.09713856
2015-12-30,1451433600000,433.89,434.99,422.35,427.95,4884.61572961
2015-12-31,1451520000000,427.9,434.0,419.04,430.35,6480.69357368
2016-01-01,1451606400000,430.35,437.15,427.92,435.66,3863.27745054
2016-01-02,1451692800000,435.67,437.56,432.41,435.4,3276.70962113
2016-01-03,1451779200000,435.4,435.75,425.02,431.91,3904.33531811
2016-01-04,1451865600000,431.9,435.79,431.37,433.85,5894.44572317
2016-01-05,1451952000000,433.84,435.64,430.0,433.34,5150.10947569
2016-01-06,1452038400000,433.32,433.46,428.15,430.87,5476.95995944
2016-01-07,1452124800000,430.66,460.15,430.64,459.07,13907.20172902
2016-01-08,1452211200000,459.07,464.4,447.53,454.44,8347.0950396
2016-01-09,1452297600000,454.41,456.0,447.66,450.38,4247.63965095
2016-01-10,1452384000000,450.39,451.39,442.96,449.99,3954.32239952
2016-01-11,1452470400000,449.99,452.65,445.88,449.19,5597.63718315
2016-01-12,1452556800000,449.26,449.44,431.83,434.01,6596.94545292
2016-01-13,1452643200000,434.01,437.5,425.0,432.77,9009.15070912
2016-01-14,1452729600000,432.7,435.27,428.0,430.03,5673.63296245
2016-01-15,1452816000000,430.04,430.29,357.3,357.53,28641.67358553
2016-01-16,1452902400000,357.59,391.0,350.92,388.7,17985.23878449
2016-01-17,1452988800000,388.7,391.0,372.0,378.46,8278.40179348
2016-01-18,1453075200000,378.47,386.1,370.1,384.89,8711.45975604
2016-01-19,1453161600000,384.79,385.5,370.0,375.27,8133.36701034
2016-01-20,1453248000000,375.28,425.1,369.0,418.54,13874.69165931
2016-01-21,1453334400000,418.89,424.78,403.21,409.38,8739.16341887
2016-01-22,1453420800000,409.02,413.99,373.86,382.9,13430.10303924
2016-01-23,1453507200000,382.93,398.72,382.55,387.5,6310.0300222
2016-01-24,1453593600000,387.5,406.93,387.49,403.05,3550.83177183
2016-01-25,1453680000000,403.04,403.04,386.41,391.4,6491.99981186
2016-01-26,1453766400000,391.4,397.0,387.78,391.54,6981.00990035
2016-01-27,1453852800000,391.7,397.18,390.7,394.79,6324.16419027
2016-01-28,1453939200000,394.6,395.0,377.12,379.61,9103.71549887
2016-01-29,1454025600000,379.63,385.05,363.25,378.68,12105.31043689
2016-01-30,1454112000000,378.68,382.04,375.0,378.46,4154.2964224
2016-01-31,1454198400000,378.46,382.5,365.0,367.95,5506.77681302
2016-02-01,1454284800000,367.89,379.0,366.26,371.33,7931.22922922
2016-02-02,1454371200000,371.33,374.41,371.17,372.93,6856.21815799
2016-02-03,1454457600000,372.93,373.01,365.63,368.87,7147.95657328
2016-02-04,1454544000000,368.87,390.63,368.74,387.99,8887.7572324
2016-02-05,1454630400000,387.99,389.36,382.99,384.5,7443.92933224
2016-02-06,1454716800000,384.44,384.54,370.05,375.44,6276.66473729
2016-02-07,1454803200000,375.44,379.81,373.24,377.49,4164.50911131
2016-02-08,1454889600000,377.47,379.35,370.5,371.14,7094.20857777
2016-02-09,1454976000000,371.02,374.93,370.13,372.68,8424.5942075
2016-02-10,1455062400000,372.76,383.34,371.87,378.44,9736.03682475
2016-02-11,1455148800000,378.49,379.5,360.0,378.23,10413.06371586
2016-02-12,1455235200000,378.23,382.05,377.46,382.05,6162.21762337
2016-02-13,1455321600000,382.05,396.0,381.99,391.0,5978.85647171
2016-02-14,1455408000000,391.0,406.92,391.0,406.59,7557.25485027
2016-02-15,1455494400000,406.62,409.09,394.03,398.95,6568.48538284
2016-02-16,1455580800000,398.94,407.5,390.0,407.42,5649.43557069
2016-02-17,1455667200000,407.41,420.13,405.69,415.2,8707.1340027
2016-02-18,1455753600000,415.18,423.2,415.01,421.19,6518.6376118
2016-02-19,1455840000000,421.18,422.0,416.0,420.72,5800.21753183
2016-02-20,1455926400000,420.72,444.03,420.09,437.46,9368.59512888
2016-02-21,1456012800000,438.04,448.7,426.01,438.56,7111.14458641
2016-02-22,1456099200000,438.56,439.0,430.95,437.55,5131.79988328
2016-02-23,1456185600000,437.45,440.9,414.16,419.97,9159.03224463
2016-02-24,1456272000000,420.32,425.6,410.0,423.94,7232.28236528
2016-02-25,1456358400000,423.87,426.44,418.6,423.54,6049.81811526
2016-02-26,1456444800000,423.51,430.85,419.53,430.85,6782.03746528
2016-02-27,1456531200000,430.84,434.97,430.14,433.12,5520.65526894
2016-02-28,1456617600000,433.09,436.07,423.0,433.73,5149.93009024
2016-02-29,1456704000000,433.73,442.0,431.13,436.44,7578.8900694
2016-03-01,1456790400000,436.41,437.78,427.5,433.08,7580.23306278
2016-03-02,1456876800000,433.03,435.36,418.36,420.39,7437.60843525
2016-03-03,1456963200000,420.44,422.8,408.63,418.8,11833.72087093
2016-03-04,1457049600000,418.76,422.21,405.5,407.35,8961.10957184
2016-03-05,1457136000000,407.38,408.83,381.09,396.08,14903.33778457
2016-03-06,1457222400000,396.13,409.27,385.01,403.24,7676.29322299
2016-03-07,1457308800000,403.24,418.74,395.0,412.21,9910.74424239
2016-03-08,1457395200000,412.21,416.33,407.4,411.18,7501.47649557
2016-03-09,1457481600000,411.18,414.0,408.75,412.8,5399.36136204
2016-03-10,1457568000000,412.64,416.52,410.71,415.98,7909.17586749
2016-03-11,1457654400000,415.98,421.0,414.97,419.39,7041.45814304
2016-03-12,1457740800000,419.48,421.3,406.52,410.58,6897.105099
2016-03-13,1457827200000,410.56,416.38,410.01,412.52,4663.32879725
2016-03-14,1457913600000,412.51,415.84,411.61,415.02,6672.7126524
2016-03-15,1458000000000,415.02,416.94,412.48,415.41,7355.07959993
2016-03-16,1458086400000,415.41,416.39,413.0,416.07,6274.8088109
2016-03-17,1458172800000,416.06,419.75,415.7,418.41,6108.4432848
2016-03-18,1458259200000,418.42,418.66,399.21,409.65,8597.5867638
2016-03-19,1458345600000,409.66,411.0,404.72,410.2,4840.13357914
2016-03-20,1458432000000,410.09,415.34,409.36,411.27,4726.10717472
2016-03-21,1458518400000,411.25,412.13,406.89,412.0,6020.51810823
2016-03-22,1458604800000,411.98,417.79,411.0,416.66,6124.69185606
2016-03-23,1458691200000,416.66,418.99,413.95,417.53,5506.91945281
2016-03-24,1458777600000,417.53,417.72,410.0,412.95,5064.58936525
2016-03-25,1458864000000,412.86,416.87,411.0,416.41,4598.6610383
2016-03-26,1458950400000,416.42,417.77,414.37,416.97,3641.00285678
2016-03-27,1459036800000,416.96,426.5,416.35,425.3,4658.09803054
2016-03-28,1459123200000,425.29,425.36,419.63,423.0,5717.86007067
2016-03-29,1459209600000,422.92,424.62,407.75,416.39,7361.85527519
2016-03-30,1459296000000,416.4,416.41,407.56,412.79,5831.49360379
2016-03-31,1459382400000,412.97,417.6,412.74,416.03,5235.54278385
2016-04-01,1459468800000,416.03,417.68,414.12,417.68,5353.92318385
2016-04-02,1459555200000,417.68,420.5,417.04,419.95,3952.0183139
2016-04-03,1459641600000,419.95,420.8,418.33,420.16,3266.97381272
2016-04-04,1459728000000,420.08,421.0,417.58,419.47,5323.83529462
2016-04-05,1459814400000,419.48,423.43,418.01,422.36,5727.68629636
2016-04-06,1459900800000,422.4,423.0,420.61,421.46,5211.96140153
2016-04-07,1459987200000,421.36,422.74,419.41,421.99,5026.31118662
2016-04-08,1460073600000,421.99,424.65,415.71,419.48,6437.97595515
2016-04-09,1460160000000,419.48,419.79,415.51,419.46,3519.98911149
2016-04-10,1460246400000,419.46,423.99,419.46,423.4,2990.03664436
2016-04-11,1460332800000,423.29,424.0,420.15,423.94,5093.21825161
2016-04-12,1460419200000,423.95,429.77,423.14,427.8,6997.06357807
2016-04-13,1460505600000,427.8,429.44,423.59,425.58,5885.07514476
2016-04-14,1460592000000,425.58,428.0,424.52,426.32,4732.22672175
2016-04-15,1460678400000,426.35,431.1,425.72,430.93,4184.00939072
2016-04-16,1460764800000,430.82,434.89,429.89,433.39,4133.98598682
2016-04-17,1460851200000,433.69,434.93,429.15,431.0,3299.73395797
2016-04-18,1460937600000,431.08,434.46,428.44,430.97,5277.32120606
2016-04-19,1461024000000,430.9,438.2,429.22,437.06,6226.60528301
2016-04-20,1461110400000,437.06,444.07,436.17,442.96,7150.95669528
2016-04-21,1461196800000,442.87,453.8,441.99,452.25,7693.43100861
2016-04-22,1461283200000,452.25,452.95,445.07,448.41,6814.7817311
2016-04-23,1461369600000,448.57,455.84,447.03,455.69,4618.30821378
2016-04-24,1461456000000,455.68,465.0,454.55,464.46,6188.49079492
2016-04-25,1461542400000,464.47,472.38,454.65,466.17,9493.32784683
2016-04-26,1461628800000,466.17,472.11,464.01,470.59,7471.24056177
2016-04-27,1461715200000,470.3,470.79,434.0,445.31,11629.49770098
2016-04-28,1461801600000,445.3,451.88,434.79,451.68,7644.69210461
2016-04-29,1461888000000,451.67,459.44,448.5,458.82,5965.09735013
2016-04-30,1461974400000,458.8,459.33,450.13,454.02,4710.2895045
2016-05-01,1462060800000,454.02,457.07,451.55,456.98,2941.67587876
2016-05-02,1462147200000,456.98,457.63,440.02,446.42,7694.20823194
2016-05-03,1462233600000,446.53,453.29,443.61,452.21,5892.48138372
2016-05-04,1462320000000,452.21,453.23,446.76,448.68,4883.54001476
2016-05-05,1462406400000,448.59,451.56,447.0,449.98,5336.21991152
2016-05-06,1462492800000,449.99,463.73,448.84,462.31,6193.77720515
2016-05-07,1462579200000,462.31,464.0,459.55,461.91,3463.8802064
2016-05-08,1462665600000,461.91,465.0,457.5,462.79,3275.57794242
2016-05-09,1462752000000,462.6,465.9,459.41,464.16,5882.94056987
2016-05-10,1462838400000,464.15,465.0,448.2,452.78,6814.25705519
2016-05-11,1462924800000,452.77,458.65,452.5,454.37,5746.40549365
2016-05-12,1463011200000,454.56,456.57,449.27,456.48,6119.04462476
2016-05-13,1463097600000,456.48,458.03,453.84,457.98,5404.20702972
2016-05-14,1463184000000,457.97,459.83,456.0,458.9,3295.1997074
2016-05-15,1463270400000,458.9,463.62,458.49,461.47,3269.98252507
2016-05-16,1463356800000,461.48,461.59,451.48,455.66,6019.17236655
2016-05-17,1463443200000,455.64,457.49,452.2,454.19,6033.90842585
2016-05-18,1463529600000,454.19,457.88,453.6,455.56,5512.42378222
2016-05-19,1463616000000,455.56,456.41,435.0,438.38,8412.58613924
2016-05-20,1463702400000,437.91,445.85,435.5,445.65,7178.735362
2016-05-21,1463788800000,445.52,446.99,441.88,446.28,3945.71821234
2016-05-22,1463875200000,446.27,446.45,440.89,442.48,3779.58274056
2016-05-23,1463961600000,442.45,446.3,440.79,445.67,5659.42935339
2016-05-24,1464048000000,445.56,448.5,440.5,446.99,6536.8124736
2016-05-25,1464134400000,446.98,452.42,446.86,451.49,6167.95576946
2016-05-26,1464220800000,451.45,454.99,449.0,454.97,5843.88197402
2016-05-27,1464307200000,454.97,476.75,454.35,471.27,9888.02648828
2016-05-28,1464393600000,471.21,539.49,470.13,523.25,12107.45659727
2016-05-29,1464480000000,523.35,549.99,491.01,525.22,9957.52724318
2016-05-30,1464566400000,525.22,541.0,519.0,532.55,5960.33332201
2016-05-31,1464652800000,532.56,544.9,520.01,531.34,8491.97268136
2016-06-01,1464739200000,531.25,541.5,524.39,534.84,5736.65283224
2016-06-02,1464825600000,534.85,541.2,531.86,537.87,6329.87872329
2016-06-03,1464912000000,538.06,578.0,535.96,571.25,10203.7254522
